シート	タイトル	判定	意図	本文行数	参考URL
259月コンテ_Long(905)	［年代別］最初に買いたい時計4選【ロレックス編】時計名/時計名	採用:年代別	過去コンテンツ短期間（1-3ヶ月）のうち、一定の視聴伸びが得られていることから動画構成の見直しにより改善を狙う 立ち位置がファシリテーターが進行、紹介を交える構図だと初見視聴者は立ち位置が不明瞭な印象	13	https://www.youtube.com/watch?v=TTRzNpHbDko
259月コンテ_Long(922)	【xx代向け】昇進・昇格したら身につけたい”ビジネスマン向け”ヴィンテージ腕時計x選	採用:ヴィンテージ	昇進・昇格を迎える年代向けに、スーツに映えるヴィンテージ時計を紹介。節目の自己投資としての意義を強調し、ビジネスマン層の共感と購買意欲を高める。	7	https://youtu.be/KfST4y9AGUE?si=xMcvHTeBa8v24xxE
259月コンテ_Long(919)	実は世界の時計ファンに愛されている国産腕時計メーカー/ブランド/シリーズx選	採用:ブランド	知る人ぞ知る国産ブランドやシリーズを取り上げ、その歴史や評価ポイントを紹介。海外市場での人気実態を示すことで、国産時計の新たな価値に気づかせる企画。	7	https://youtube.com/shorts/uzFD8Eh6spw?si=GMZ6WPs1rE7ZxY4m
259月コンテ_Long(925)	映画に出てきた有名なヴィンテージ時計5選	採用:ヴィンテージ	映画に登場した印象的なヴィンテージ時計を取り上げ、作品との関わりやモデルの背景を解説。物語性を通じて未認知層へリーチし、時計の文化的価値を広く伝える企画。	7	https://youtu.be/cZ34-9DbZk0?si=GvlWC1kk8t89X4Jw
259月コンテ_Long(926)	2025年上半期ロレックス人気ランキング【ファイアーキッズオリジナル】	採用:ランキング	売上の詳細まで触れずとも、販売個数を元にブランド名縛りで商品をランキングで紹介。	7
259月コンテ_shorts(930)	10万円台で買えるヴィンテージ時計3選	採用:10万		2	https://www.youtube.com/shorts/o4USmG0pQAo
259月コンテ_shorts(102)	低予算で買えるヴィンテージ時計ありますか!?	採用:ヴィンテージ		2	https://youtube.com/shorts/9Bv5z-v6lsU?si=WBRE1zKv4-tM6JD2
2512月コンテ_shorts(1211)	腕時計で究極の2択！	採用:究極		2	https://youtube.com/shorts/jvUonYKkCm4?si=pIZgJUVZAEp_HBgn
2512月コンテ_shorts(1225)	男はカルティエNG!?	採用:カルティエNG		2	https://m.firekids.jp/00/7593/
251月コンテ_shorts(15)	新社会人に贈りたい腕時計3選！	採用:新社会人		2	https://m.firekids.jp/00/7709/
252月コンテ_shorts(22)	映画に登場した腕時計3選	採用:映画		2	https://m.firekids.jp/00/7645/
252月コンテ_shorts(29)※3本分台本ストックあり	【年代別】このSEIKOは絶対持ちたい！	採用:年代別		2	https://youtube.com/shorts/OR13mHvHAXE
253月コンテ_shorts(310)	スマホあるのに腕時計いります！？	採用:スマホあるのに		2	https://youtube.com/shorts/73jkHvE6GPg?si=8NNeKa6tiNqIE9UH
253月コンテ_shorts(322)	国産の腕時計も良いよ！	採用:国産		2	https://youtube.com/shorts/QnyN-hJoEw4?si=FVo9t3F7XW3bkWT6
2510月コンテ_Long(1017)	え？これROLEXなの！？2選 ROLEXっぽくない...だけど良い...。さりげなく忍ばせてキラリと光る、変わりダネROLEX紹介	採用:Long企画(5行以上)	一般的なイメージから外れた意外性のあるロレックスモデルを紹介し、その独自の魅力や評価される理由を解説。派手さを避けつつ個性を楽しみたい人に向け、さりげなく光る選択肢としての価値を伝える。	7
2510月コンテ_Long(1020)	ROLEXが人気なのって日本だけ...?世界の中で突出して日本で絶大的な支持を得ている理由	採用:人気	世界的に人気を誇るロレックスの中でも、日本市場で特に強い支持を集める背景を解説。消費者の価値観や文化的傾向を整理し、なぜ日本で突出した人気を築いているのかを理解できる内容にする。	7
2510月コンテ_Long(1021)	あなたはどのブランドの哲学が好み？見た目ではなく中身から入る腕時計選び	採用:ブランド	腕時計をデザイン重視ではなく、ブランドが掲げる哲学やものづくりの思想から選ぶ視点を提案。背景にある価値観を知ることで、所有する意義や共感度が高まり、より納得感ある選び方の参考になる内容にする。	7
2510月コンテ_Long(1023)	日本が腕時計中古市場において天国と呼ばれる理由 日本が世界のヴィンテージ腕時計ファンから大絶賛される理由	採用:ヴィンテージ	世界のヴィンテージ時計ファンから日本が高く評価される要因を解説。 豊富な在庫や保存状態の良さ、取引の安心感といった特徴を語り、日本でヴィンテージ腕時計を買えることの優位性や（海外から見た相対的な）魅力	9
